tempoExperimento,alturaTanque1,alturaTanque2,tensaoBomba,erro
505,10.0,11.2,1.99,0
506,10.3,11.3,1.99,0
507,10.3,11.4,1.99,0
509,10.1,11.1,1.99,0
510,10.2,11.3,1.99,0
511,10.0,11.4,1.99,0
512,9.9,11.2,1.99,0
513,10.2,11.2,1.99,0
515,10.1,11.5,1.99,0
516,9.8,11.3,1.99,0
517,10.3,11.4,1.99,0
518,10.2,11.3,1.99,0
519,9.9,11.4,1.99,0
521,10.3,11.3,1.99,0
522,10.4,11.4,1.99,0
523,10.0,11.3,1.99,0
524,9.9,11.5,1.99,0
525,10.0,11.4,1.99,0
527,10.0,11.5,1.99,0
528,10.0,11.4,1.99,0
529,10.2,11.5,1.99,0
530,10.1,11.4,1.99,0
531,9.9,11.4,1.99,0
533,10.2,11.2,1.99,0
534,10.1,11.2,1.99,0
535,10.1,11.5,1.99,0
536,10.4,11.3,1.99,0
537,10.0,11.5,1.99,0
539,10.0,11.5,1.99,0
540,10.1,11.4,1.99,0
541,10.2,11.2,1.99,0
542,10.2,11.4,1.99,0
543,10.3,11.3,1.99,0
545,10.0,11.4,1.99,0
546,10.3,11.5,1.99,0
547,10.0,11.4,1.99,0
548,9.8,11.5,1.99,0
549,10.4,11.5,0.00,0
550,10.3,11.5,1.99,0
551,10.1,11.4,1.99,0
552,10.0,11.5,1.99,0
553,10.0,11.5,1.99,0
554,10.1,11.7,1.99,0
555,10.1,11.5,1.99,0
557,10.4,11.4,1.99,0
558,10.1,11.4,1.99,0
559,10.0,11.6,1.99,0
560,10.1,11.6,1.99,0
561,10.3,11.4,1.99,0
563,10.2,11.5,1.99,0
564,10.2,11.5,1.99,0
565,10.3,11.5,1.99,0
566,10.3,11.6,1.99,0
567,10.2,11.5,1.99,0
568,10.2,11.4,1.99,0
569,10.3,11.5,1.99,0
570,10.4,11.3,1.99,0
571,10.2,11.4,1.99,0
572,10.2,11.5,1.99,0
573,10.2,11.6,1.99,0
575,10.5,11.4,1.99,0
576,10.6,11.5,1.99,0
577,10.3,11.6,1.99,0
578,10.3,11.5,1.99,0
579,10.2,11.6,1.99,0
581,10.4,11.5,1.99,0
582,10.1,11.6,1.99,0
583,10.2,11.3,1.99,0
584,10.3,11.7,1.99,0
587,10.3,11.6,1.99,0
588,10.4,11.6,1.99,0
589,10.7,11.6,1.99,0
590,10.1,11.4,1.99,0
591,10.5,11.6,1.99,0
592,10.0,11.5,1.99,0
593,10.2,11.5,1.99,0
594,10.4,11.6,1.99,0
595,10.5,11.6,1.99,0
596,10.3,11.6,1.99,0
597,10.0,11.6,1.99,0
598,10.2,11.7,1.99,0
600,10.4,11.5,1.99,0
601,10.2,11.6,1.99,0
602,10.4,11.6,1.99,0
603,10.4,11.4,1.99,0
605,10.2,11.4,1.99,0
606,10.3,11.4,1.99,0
607,10.2,11.5,1.99,0
608,10.4,11.6,1.99,0
609,10.4,11.4,1.99,0
